434,1240,Kepler-434b,908.96,12.67,1000,12.8747099,0.1143
435,2070,Kepler-435b,266.97,22.31,1729,8.6001536,0.0948
436,618,Kepler-436b,—,2.73,271,64.00205,0.339
437,417,Kepler-437b,—,2.14,294,66.65062,0.288
438,145,Kepler-438b,—,1.12,273,35.23319,0.166
439,693,Kepler-439b,—,2.24,284,178.1396,0.563
440,261,Kepler-440b,—,1.86,201,101.11141,0.242
441,284,Kepler-441b,—,1.64,194,207.2482,0.64
442,342,Kepler-442b,—,1.34,260,112.3053,0.409
444,779,Kepler-443b,—,2.33,246,177.6693,0.495
444,36,Kepler-444b,—,0.403,863,3.6001053,0.04178
444,36,Kepler-444c,—,0.497,799,4.5458841,0.04881
444,36,Kepler-444d,—,0.53,721,6.189392,0.06
444,36,Kepler-444e,—,0.546,669,7.743493,0.0696
444,36,Kepler-444f,—,0.741,620,9.740486,0.0811
445,90,Kepler-445b,—,1.58,426,2.984151,0.0224
445,90,Kepler-445c,—,2.51,362,4.871229,0.0311
445,90,Kepler-445d,—,1.25,305,8.15275,0.0439
446,120,Kepler-446b,—,1.5,727,1.565409,0.0206
446,120,Kepler-446c,—,1.11,583,3.036179,0.032
446,120,Kepler-446d,—,1.35,489,5.148921,0.0455
448,426,Kepler-448b,3178.3,16.029,942,17.8552333,0.151
